water.treatment,air.treatment,star.ID,ind.number,round,date,measurement.number,M1.vol.water.mL,M1.vol.water.and.animal.mL,vol.chamber-mL,vol.animal-mL,vol.water-mL,vol.water-L,wet.weight-g,wet.weight-kg,AFDM-g,AFDM-kg
15,25,EB_2024_ind1,1,R1,20-May-24,M1,200,212,240,12,228,0.228,14.34,0.01434,,
15,25,EB_2024_ind4,4,R1,20-May-24,M1,200,212,240,12,228,0.228,13.25,0.01325,,
15,25,EB_2024_ind6,6,R1,20-May-24,M1,200,208,240,8,232,0.232,7.76,0.00776,,
15,25,EB_2024_ind7,7,R2,20-May-24,M1,200,205,240,5,235,0.235,7.22,0.00722,,
15,25,EB_2024_ind11,11,R2,20-May-24,M1,200,208,240,8,232,0.232,9.14,0.00914,,
15,25,EB_2024_ind12,12,R3,20-May-24,M1,200,211,240,11,229,0.229,9.72,0.00972,,
15,25,EB_2024_ind14,14,R3,20-May-24,M1,200,209,240,9,231,0.231,8.72,0.00872,,
15,25,EB_2024_ind16,16,R4,20-May-24,M1,200,210,240,10,230,0.23,11.65,0.01165,,
15,25,EB_2024_ind17,17,R4,20-May-24,M1,200,209,240,9,231,0.231,12.74,0.01274,,
15,30,EB_2024_ind22,22,R1,20-May-24,M1,200,211,240,11,229,0.229,14.41,0.01441,,
15,30,EB_2024_ind23,23,R1,20-May-24,M1,200,201,240,1,239,0.239,5.25,0.00525,,
15,30,EB_2024_ind25,25,R2,20-May-24,M1,200,208,240,8,232,0.232,8.73,0.00873,,
15,30,EB_2024_ind26,26,R2,20-May-24,M1,200,214,240,14,226,0.226,15.18,0.01518,,
15,30,EB_2024_ind28,28,R2,20-May-24,M1,200,210,240,10,230,0.23,8.7,0.0087,,
15,30,EB_2024_ind29,29,R3,20-May-24,M1,200,211,240,11,229,0.229,10.24,0.01024,,
15,30,EB_2024_ind30,30,R3,20-May-24,M1,200,202,240,2,238,0.238,5.91,0.00591,,
15,30,EB_2024_ind32,32,R4,20-May-24,M1,200,213,240,13,227,0.227,15.88,0.01588,,
15,30,EB_2024_ind35,35,R4,20-May-24,M1,200,205,240,5,235,0.235,9.92,0.00992,,
20,25,EB_2024_ind37,37,R1,20-May-24,M1,200,210,240,10,230,0.23,10.23,0.01023,,
20,25,EB_2024_ind39,39,R1,20-May-24,M1,200,204,240,4,236,0.236,5.63,0.00563,,
20,25,EB_2024_ind40,40,R2,20-May-24,M1,200,212,240,12,228,0.228,12.47,0.01247,,
20,25,EB_2024_ind41,41,R2,20-May-24,M1,200,211,240,11,229,0.229,14.48,0.01448,,
20,25,EB_2024_ind43,43,R3,20-May-24,M1,200,216,240,16,224,0.224,17,0.017,,
20,25,EB_2024_ind46,46,R3,20-May-24,M1,200,211,240,11,229,0.229,10.7,0.0107,,
20,25,EB_2024_ind47,47,R3,20-May-24,M1,200,207,240,7,233,0.233,7.07,0.00707,,
20,25,EB_2024_ind51,51,R4,20-May-24,M1,200,213,240,13,227,0.227,15.75,0.01575,,
20,25,EB_2024_ind52,52,R4,20-May-24,M1,200,209,240,9,231,0.231,8.34,0.00834,,
20,30,EB_2024_ind55,55,R1,20-May-24,M1,200,213,240,13,227,0.227,15.93,0.01593,,
20,30,EB_2024_ind56,56,R1,20-May-24,M1,200,212,240,12,228,0.228,13.47,0.01347,,
20,30,EB_2024_ind58,58,R2,20-May-24,M1,200,207,240,7,233,0.233,7.72,0.00772,,
20,30,EB_2024_ind59,59,R2,20-May-24,M1,200,212,240,12,228,0.228,12.06,0.01206,,
20,30,EB_2024_ind60,60,R3,20-May-24,M1,200,214,240,14,226,0.226,14.51,0.01451,,
20,30,EB_2024_ind67,67,R3,20-May-24,M1,200,208,240,8,232,0.232,7.73,0.00773,,
20,30,EB_2024_ind68,68,R4,20-May-24,M1,200,211,240,11,229,0.229,12,0.012,,
20,30,EB_2024_ind70,70,R4,20-May-24,M1,200,205,240,5,235,0.235,5,0.005,,
20,30,EB_2024_ind71,71,R4,20-May-24,M1,200,208,240,8,232,0.232,9.71,0.00971,,
